;Actual Value;Prediction;countryName;regionName;year
3178;1.0;1;Kiribati;Western Pacific;2019
3338;1.0;1;Singapore;Western Pacific;2019
3138;2.0;2;Japan;Western Pacific;2019
3038;3.0;3;Australia;Western Pacific;2019
3058;4.0;4;Brunei Darussalam;Western Pacific;2019
3198;4.0;5;Republic of Korea;Western Pacific;2019
3278;5.0;5;New Zealand;Western Pacific;2019
3298;6.0;6;Philippines;Western Pacific;2019
3318;6.0;6;Papua New Guinea;Western Pacific;2019
3438;6.0;6;Samoa;Western Pacific;2019
3098;7.0;7;Fiji;Western Pacific;2019
3418;7.0;7;Vanuatu;Western Pacific;2019
3358;8.0;8;Solomon Islands;Western Pacific;2019
3078;9.0;9;China;Western Pacific;2019
3218;9.0;9;Lao People's Democratic Republic;Western Pacific;2019
3158;10.0;10;Cambodia;Western Pacific;2019
3238;10.0;10;Mongolia;Western Pacific;2019
3258;11.0;11;Malaysia;Western Pacific;2019
3398;15.0;15;Viet Nam;Western Pacific;2019
3378;16.0;16;Tonga;Western Pacific;2019
