;Unnamed: 0;year;countryName;regionName;NUTRITION_ANAEMIA_CHILDREN_PRE;CM_03;CHILDMORT5TO14;CM_01;CM_02;MDG_0000000001;MDG_0000000020;MDG_0000000007;WHS4_544;WHS4_100;WSH_SANITATION_BASIC;WHOSIS_000003;WHOSIS_000014;WHS8_110;WSH_WATER_BASIC;TB_e_inc_num;WHOSIS_000016;HEMOGLOBINLEVEL_CHILDREN_MEAN;HEMOGLOBINLEVEL_PREGNANT_MEAN;NCD_HYP_PREVALENCE_C;NCD_HYP_PREVALENCE_A;NUTRITION_ANAEMIA_NONPREGNANT__x;NCD_HYP_CONTROL_C;NCD_HYP_TREATMENT_A;NUTRITION_ANAEMIA_REPRODUCTIVE_x;NUTRITION_ANAEMIA_PREGNANT_NUM;NUTRITION_ANAEMIA_CHILDREN_NUM;CM_04;CHILDMORT10TO19;NCD_HYP_DIAGNOSIS_C;CHILDMORT_DEATHS_10TO14;HEMOGLOBINLEVEL_REPRODUCTIVEAG;CHILDMORT_MORTALITY_10TO14;NUTRITION_ANAEMIA_PREGNANT_PRE;HEMOGLOBINLEVEL_NONPREGNANT_ME;NUTRITION_ANAEMIA_NONPREGNANT__y;NCD_HYP_DIAGNOSIS_A;NCD_HYP_CONTROL_A;NUTRITION_ANAEMIA_REPRODUCTIVE_y;NCD_HYP_TREATMENT_C;POP;percent
3309;3309;2010;Marshall Islands;Western Pacific;128.7;29.0;22.61171;132.0;106.0;95.2034;428.0;117.15751;95.0;94.0;230.53762;17.93361;13.11994;97.0;267.92625;230.0;12.86787;111.0;113.0;87.8;91.0;96.67;43.8;97.8;100.832;1.262;10.346;12.0;56.42457;127.7;8.0;125.0;3.2686;121.8;126.0;96.67;129.2;44.1;100.832;95.4;53416.0;0.24093904448105435
3310;3310;2011;Marshall Islands;Western Pacific;128.39999999999998;27.0;22.38944;124.0;100.0;94.19562;307.0;115.78663;88.0;87.0;230.96365;17.79734;13.03801;88.0;268.15158;160.0;12.72972;111.0;113.0;88.9;91.8;96.823;44.0;97.4;100.743;1.23;10.108;12.0;56.01423;129.2;8.0;125.0;3.24273;121.5;126.0;96.823;130.4;44.3;100.743;95.5;52971.0;0.24239678314549465
3311;3311;2012;Marshall Islands;Western Pacific;127.5;26.0;22.07207;116.0;92.0;92.84876;320.0;113.91494;80.0;80.0;231.38837;17.59802;12.99995;78.0;268.37854;170.0;12.532899999999998;111.0;113.0;89.5;92.5;96.807;44.1;97.0;100.694;1.198;9.881;12.0;55.38237999999999;130.5;8.0;125.0;3.20538;120.9;126.0;96.807;131.4;44.2;100.694;95.4;52203.0;0.24423883684845699
3312;3312;2013;Marshall Islands;Western Pacific;126.4;24.0;21.70457;108.0;86.0;91.14904;327.0;111.54467;79.0;79.0;231.81107000000003;17.35637;12.90205;79.0;268.60727;170.0;12.30686;112.0;114.0;89.8;93.1;97.014;44.1;96.3;100.58;1.156;9.655;12.0;54.65145;131.6;8.0;125.0;3.15867;120.5;126.0;97.014;132.4;44.3;100.58;95.1;51352.0;0.24614425923040972
3313;3313;2014;Marshall Islands;Western Pacific;125.1;22.0;21.28533;98.0;78.0;89.28520999999999;310.0;108.99685;77.0;78.0;232.23237;17.03683;12.73777;79.0;268.83755;160.0;12.04421;112.0;114.0;90.0;93.6;97.186;44.0;95.6;100.71;1.135;9.409;10.0;53.87128;132.6;8.0;125.0;3.10327;120.0;126.0;97.186;133.2;44.1;100.71;94.5;50419.0;0.24812074813066498
3314;3314;2015;Marshall Islands;Western Pacific;123.6;20.0;20.84664;90.0;72.0;87.30228;300.0;106.27721;85.0;85.0;232.65183;16.62761;12.55103;75.0;269.06946;150.0;11.76403;112.0;114.0;90.2;94.0;98.034;44.1;94.6;101.329;1.0950000000000002;9.176;10.0;53.08084;133.4;6.0;125.0;3.04981;119.7;126.0;98.034;134.0;44.0;101.329;93.8;49410.0;0.25015179113539765
3315;3315;2016;Marshall Islands;Western Pacific;122.5;18.0;20.38573;82.0;66.0;85.28963999999999;388.0;103.53265000000002;69.0;71.0;233.06974;16.17083;12.34276;75.0;269.30288;190.0;11.47237;112.0;114.0;90.0;94.5;99.089;43.8;93.7;102.265;1.077;8.921;10.0;52.22116;134.0;6.0;125.0;2.99008;119.7;126.0;99.089;134.6;43.89999999999999;102.265;92.7;48329.0;0.25347100084835195
3316;3316;2017;Marshall Islands;Western Pacific;121.2;17.0;19.91203;76.0;60.0;83.15836999999999;439.0;100.73341;79.0;80.0;233.48572;15.71443;12.10511;83.0;269.53787;210.0;11.17437;112.0;114.0;89.8;94.8;99.848;43.6;92.6;102.907;1.049;8.635;10.0;51.30194;134.3;6.0;125.0;2.93345;119.1;126.0;99.848;135.2;43.7;102.907;91.5;47187.0;0.25685040371288703
3317;3317;2018;Marshall Islands;Western Pacific;119.7;15.0;19.48004;70.0;56.0;81.0973;918.0;98.00774;80.0;81.0;233.90034000000003;15.23442;11.91451;83.0;269.77423;420.0;10.89876;112.0;114.0;89.69999999999999;95.2;100.758;43.5;91.70000000000002;103.68099999999998;1.022;8.326;8.0;50.46609000000001;134.7;6.0;125.0;2.86717;118.8;126.0;100.758;135.8;43.8;103.68099999999998;90.4;45989.0;0.26027963208593363
3318;3318;2019;Marshall Islands;Western Pacific;118.5;14.0;18.99189;64.0;52.0;78.83571;483.0;95.01388;78.0;79.0;234.21136;14.76337;11.71217;85.0;269.93016;220.0;10.59454;113.0;114.0;90.0;95.6;101.818;43.4;90.8;104.635;1.017;8.074;8.0;49.54756999999999;135.3;6.0;125.0;2.81263;118.2;126.0;101.818;136.5;44.0;104.635;89.30000000000001;44728.0;0.2649347165086747
3319;3319;2000;Marshall Islands;Western Pacific;119.1;36.0;24.03689;160.0;130.0;101.57842;84.0;126.00415;36.0;39.0;;18.91217;13.63036;94.0;;45.0;13.767029999999998;112.0;113.0;67.69999999999999;84.0;99.689;34.7;94.1;104.672;1.483;8.607;16.0;59.08928999999999;105.2;10.0;125.0;3.44744;126.9;126.0;99.689;114.1;36.4;104.672;83.5;54224.0;0.21964443788728238
3360;3360;2004;Nauru;Western Pacific;137.7;7.0;22.41125;22.0;18.0;94.5394;72.0;116.2885;73.0;80.0;131.33856;24.67056;13.74479;67.0;193.4327;7.0;12.76224;110.0;114.0;96.3;106.4;89.70400000000001;30.0;79.69999999999999;92.239;0.2249999999999999;1.707;2.0;56.17249;123.5;2.0;126.0;3.25114;118.20000000000002;126.0;89.70400000000001;128.70000000000002;31.5;92.239;73.4;10335.0;1.332365747460087
3361;3361;2001;Nauru;Western Pacific;133.0;8.0;23.65144;24.0;20.0;99.98137;33.0;123.86296;99.0;95.0;131.38772;25.24074;13.93443;95.0;191.44468;3.0;13.527550000000002;111.0;114.0;94.3;105.1;89.67299999999999;27.5;78.9;92.10099999999998;0.2279999999999999;1.77;2.0;58.51347;119.2;2.0;126.0;3.39703;117.9;127.0;89.67299999999999;124.7;29.0;92.10099999999998;72.0;10363.0;1.2834121393418894
3362;3362;2002;Nauru;Western Pacific;134.10000000000002;7.0;23.12095;24.0;20.0;97.6826;56.0;120.61387;59.0;80.0;131.37132;24.96786;13.85729;40.0;192.10736;6.0;13.20099;111.0;114.0;94.8;105.3;89.444;28.3;79.0;92.081;0.2269999999999999;1.7279999999999998;2.0;57.58186;120.4;2.0;126.0;3.33397;117.9;127.0;89.444;125.8;29.800000000000004;92.081;72.3;10351.0;1.2955270022220078
