;Unnamed: 0;year;countryName;regionName;MH_12-Male;POP;CHILDMORT5TO14-Both sexes;CHILDMORT5TO14;CM_01-Female;CM_01-Both sexes;CM_01-Male;CM_01;CM_02-Both sexes;CM_02-Male;CM_02-Female;CM_02;CM_03-Both sexes;CM_03;MDG_0000000001-Both sexes;MDG_0000000001-Female;MDG_0000000001-Male;MDG_0000000001;MDG_0000000007-Both sexes;MDG_0000000007-Female;MDG_0000000007-Male;MDG_0000000007;MDG_0000000017;MDG_0000000020;MH_12-Both sexes;MH_12-Female;MH_12;NCD_DTH_TOT-Male;NCD_DTH_TOT-Female;NCD_DTH_TOT-Both sexes;NCD_DTH_TOT;NCD_UNDER70-Male;NCD_UNDER70-Female;NCD_UNDER70-Both sexes;NCD_UNDER70;NCDMORT3070-Female;NCDMORT3070-Male;NCDMORT3070-Both sexes;NCDMORT3070;RS_196-Male;RS_196-Female;RS_196-Both sexes;RS_196;RS_198-Female;RS_198-Male;RS_198-Both sexes;RS_198;SA_0000001400;SA_0000001688-Both sexes;SA_0000001688-Male;SA_0000001688-Female;SA_0000001688;SDG_SH_DTH_RNCOM-Male;SDG_SH_DTH_RNCOM-Both sexes;SDG_SH_DTH_RNCOM-Female;SDG_SH_DTH_RNCOM;SDGPOISON-Male;SDGPOISON-Female;SDGPOISON-Both sexes;SDGPOISON;SDGSUICIDE;TB_e_inc_num;TB_e_mort_exc_tbhiv_num;VIOLENCE_HOMICIDENUM-Both sexes;VIOLENCE_HOMICIDENUM-Male;VIOLENCE_HOMICIDENUM-Female;VIOLENCE_HOMICIDENUM;VIOLENCE_HOMICIDERATE-Both sexes;VIOLENCE_HOMICIDERATE-Male;VIOLENCE_HOMICIDERATE-Female;VIOLENCE_HOMICIDERATE;WHOSIS_000003-Both sexes;WHOSIS_000003;WHOSIS_000014;WHS2_131-Male;WHS2_131-Female;WHS2_131-Both sexes;WHS2_131;WHS4_100;WHS4_544;WHS8_110;WSH_SANITATION_BASIC;WSH_WATER_BASIC;WHOSIS_000016-Both sexes;WHOSIS_000016;HEMOGLOBINLEVEL_CHILDREN_MEAN;NCD_HYP_DIAGNOSIS_A-Both sexes;NCD_HYP_DIAGNOSIS_A-Female;NCD_HYP_DIAGNOSIS_A-Male;NCD_HYP_DIAGNOSIS_A;HEMOGLOBINLEVEL_PREGNANT_MEAN;NCD_HYP_PREVALENCE_A-Both sexes;NCD_HYP_PREVALENCE_A-Female;NCD_HYP_PREVALENCE_A-Male;NCD_HYP_PREVALENCE_A;NCD_HYP_PREVALENCE_C-Male;NCD_HYP_PREVALENCE_C-Both sexes;NCD_HYP_PREVALENCE_C-Female;NCD_HYP_PREVALENCE_C;NCD_HYP_CONTROL_A-Male;NCD_HYP_CONTROL_A-Both sexes;NCD_HYP_CONTROL_A-Female;NCD_HYP_CONTROL_A;NUTRITION_ANAEMIA_NONPREGNANT_-Female_x;NUTRITION_ANAEMIA_NONPREGNANT__x;NCD_HYP_CONTROL_C-Male;NCD_HYP_CONTROL_C-Female;NCD_HYP_CONTROL_C-Both sexes;NCD_HYP_CONTROL_C;NUTRITION_ANAEMIA_REPRODUCTIVE-Female_x;NUTRITION_ANAEMIA_REPRODUCTIVE_x;NCD_HYP_TREATMENT_A-Female;NCD_HYP_TREATMENT_A-Male;NCD_HYP_TREATMENT_A-Both sexes;NCD_HYP_TREATMENT_A;NUTRITION_ANAEMIA_REPRODUCTIVE-Female_y;NUTRITION_ANAEMIA_REPRODUCTIVE_y;NUTRITION_ANAEMIA_CHILDREN_NUM-Both sexes;NUTRITION_ANAEMIA_CHILDREN_NUM;NUTRITION_ANAEMIA_PREGNANT_NUM-Female;NUTRITION_ANAEMIA_PREGNANT_NUM;NUTRITION_ANAEMIA_CHILDREN_PRE-Both sexes;NUTRITION_ANAEMIA_CHILDREN_PRE;NCD_HYP_TREATMENT_C-Both sexes;NCD_HYP_TREATMENT_C-Female;NCD_HYP_TREATMENT_C-Male;NCD_HYP_TREATMENT_C;CHILDMORT_DEATHS_10TO14-Both sexes;CHILDMORT_DEATHS_10TO14;NCD_HYP_DIAGNOSIS_C-Both sexes;NCD_HYP_DIAGNOSIS_C-Female;NCD_HYP_DIAGNOSIS_C-Male;NCD_HYP_DIAGNOSIS_C;HEMOGLOBINLEVEL_REPRODUCTIVEAG;CM_04-Both sexes;CM_04;CHILDMORT_MORTALITY_10TO14-Both sexes;CHILDMORT_MORTALITY_10TO14;NUTRITION_ANAEMIA_NONPREGNANT_-Female_y;NUTRITION_ANAEMIA_NONPREGNANT__y;NUTRITION_ANAEMIA_PREGNANT_PRE-Female;NUTRITION_ANAEMIA_PREGNANT_PRE;HEMOGLOBINLEVEL_NONPREGNANT_ME;percent
1192;1192;2002;Eswatini;Africa;81.0591;1050809.0;13.37073;13.37073;1766.0;3789.0;2023.0;7578.0;2230.0;1236.0;994.0;4460.0;810.0;810.0;69.5696;62.65207;76.13811;208.35978;117.74369;110.97386;124.1515;352.86905;70.0;1110.0;51.1361;27.2359;159.4311;2694.254;2554.235;5248.489;10496.978;75.03486;69.44669;72.31532;216.79687;36.09749;50.25107;42.70907;129.05763;233.103;68.14329;301.2463;602.4925900000001;12.83857;47.73923;29.56137;90.13917;11.01099;7.31244;12.60298;2.75686;22.67228;1939.0407;3855.6766;1916.6363;7711.3536;4.98609;4.45128;4.70753;14.1449;112.8007;11000.0;710.0;222.238;177.4943;44.74363;444.47593;21.80826;36.35064;8.42995;66.58885000000001;24.9442;24.9442;15.44804;1388.427;973.8626;1147.534;3509.8236;85.0;87.0;93.0;160.20047;188.66839;9.21895;9.21895;110.0;31.7;38.0;22.6;92.3;116.0;42.9;46.0;39.0;127.9;36.7;39.9;42.4;119.0;3.0;4.7;5.9;13.6;111.595;334.845;2.9;6.0;4.7;13.6;118.698;356.058;22.9;12.9;18.8;54.6;118.698;356.058;65.85;197.63;7.004;21.014;45.7;137.2;17.8;21.9;11.8;51.5;107.0;107.0;30.6;37.1;21.2;88.9;125.0;270.0;270.0;3.81414;3.81414;111.595;334.845;34.5;103.5;126.0;81.0591
1193;1193;2016;Eswatini;Africa;88.774;1142524.0;14.34061;14.34061;760.0;1688.0;928.0;3376.0;1288.0;719.0;569.0;2576.0;662.0;662.0;42.64311;38.04849;46.94702;127.63862;55.59037;50.56734;60.24565;166.40336000000002;31.0;537.0;46.244;9.06;144.078;3028.917;2461.268;5490.185;10980.37;73.43298;46.61731;61.41143;181.46172;26.69853;46.9628;37.14206;110.80339;287.1168;73.88321;361.0;722.00001;12.86274;53.20948;32.40592;98.47814;15.28;8.69402;14.7514;3.26408;26.7095;2173.336;4130.5587;1957.2238;8261.1185;4.63901;2.59028;3.58264;10.81193;100.2184;6000.0;340.0;211.3183;168.8878;42.43047;422.63657;18.96943;31.29887;7.38696;57.65526;21.81618;21.81618;13.665;1300.904;719.5769;969.333;2989.8139;90.0;90.0;89.0;179.47767;222.09506;11.78742;11.78742;112.0;46.3;54.7;34.3;135.3;116.0;43.4;47.9;38.3;129.6;34.9;39.1;42.5;116.5;7.5;10.6;12.9;31.0;113.014;339.144;6.8;12.4;10.1;29.3;119.319;357.96900000000005;37.5;24.2;32.0;93.7;119.319;357.96900000000005;60.662;182.032;6.105;18.325000000000003;42.6;127.79999999999998;29.4;35.0;21.3;85.7;51.0;51.0;44.0;52.8;31.3;128.1;126.0;355.0;355.0;1.84327;1.84327;113.014;339.144;32.3;96.9;127.0;88.774
1194;1194;2015;Eswatini;Africa;92.265;1133936.0;14.58211;14.58211;785.0;1748.0;963.0;3496.0;1372.0;765.0;607.0;2744.0;675.0;675.0;45.15118;40.36234;49.63181;135.14533;57.16401;51.93628;62.09084;171.19113;35.0;648.0;49.1945;11.8854;153.3449;3002.678;2548.106;5550.784;11101.568;74.28226;49.42369;62.87085;186.5768;28.01621;47.5663;37.99179;113.5743;275.8278;72.17224;348.0;696.00004;12.62176;51.82492;31.52065;95.96733;14.98;8.55281;14.58486;3.22272;26.36039;2149.384;4155.4548;2006.0708;8310.909599999999;4.7285;2.81425;3.73706;11.27981;107.1046;7200.0;380.0;214.4541;171.6026;42.85156;428.90826;19.42453;32.24218;7.49405;59.16076;22.1217;22.1217;13.82466;1320.518;754.6777;995.3467;3070.5424000000003;90.0;84.0;89.0;177.94236;219.77354;11.93764;11.93764;112.0;45.0;53.2;33.2;131.4;117.0;43.7;48.1;38.7;130.5;35.3;39.4;42.9;117.6;7.1;10.1;12.3;29.5;111.741;335.261;6.4;11.8;9.6;27.8;118.1;354.34;36.6;23.3;31.2;91.1;118.1;354.34;60.848;182.568;6.159;18.479;41.9;125.79999999999998;28.7;34.4;20.5;83.6;53.0;53.0;42.9;51.5;30.4;124.8;126.0;358.0;358.0;1.93591;1.93591;111.741;335.261;32.4;97.1;127.0;92.265
1195;1195;2008;Eswatini;Africa;125.4304;1089870.0;14.49594;14.49594;1559.0;3346.0;1787.0;6692.0;2006.0;1112.0;894.0;4012.0;737.0;737.0;61.11988;55.09697;66.83878;183.05563;101.90499;96.03627;107.42824;305.3695;43.0;1390.0;75.816;34.5705;235.8169;3443.101;3312.042;6755.142;13510.285;78.30996;66.06945;72.30845;216.68786;39.8568;56.14322;47.84276;143.84278;237.7658;66.2342;304.0;608.0;11.93443;48.03699;28.95382;88.92524;11.28281;7.57196;13.26815;2.86169;23.7018;2463.1711;4961.0738;2497.904;9922.1489;6.19058;4.86398;5.48936;16.54392;167.92739999999998;15000.0;450.0;255.4937;207.8032;47.69049;510.98739;24.33394;41.9835;8.59313;74.91057;22.30236;22.30236;14.42381;1596.852;1076.952;1295.327;3969.131;88.0;89.0;94.0;167.78813;203.02653;10.90258;10.90258;110.0;36.3;43.0;26.7;106.0;116.0;44.7;48.4;40.2;133.3;37.4;41.4;44.6;123.4;4.5;6.9;8.5;19.9;111.071;333.201;4.2;8.5;6.7;19.4;118.198;354.608;29.7;17.4;24.8;71.9;118.198;354.608;68.432;205.232;6.927;20.787;45.6;136.79999999999998;23.3;28.5;15.7;67.5;83.0;83.0;34.9;41.9;24.7;101.5;126.0;302.0;302.0;2.99293;2.99293;111.071;333.201;33.6;100.7;126.0;125.4304
1196;1196;2013;Eswatini;Africa;110.0016;1118319.0;14.90503;14.90503;881.0;1951.0;1070.0;3902.0;1532.0;852.0;680.0;3064.0;700.0;700.0;49.46254;44.42058;54.35837;148.24149;62.53994;57.0726;67.73901;187.35155;51.0;1030.0;62.0203;20.9472;192.9691;3253.348;2915.637;6168.984;12337.969;76.07023;56.76325;66.94521;199.77869;32.53861;51.2476;41.99125;125.77746;263.115;70.88496;334.0;667.99996;12.47307;50.74161;30.73121;93.94589;14.72;8.06429;13.92455;3.04407;25.03291;2323.5205;4560.4613;2236.9421;9120.9239;5.23855;3.51245;4.33599;13.08699;136.45159999999998;11000.0;560.0;223.6754;179.1023;44.57312;447.35082;20.58029;34.53979;7.84318;62.963260000000005;22.54211;22.54211;14.04553;1433.868;873.4554;1111.989;3419.3124000000003;98.0;98.0;96.0;174.9355;215.09002;12.00814;12.00814;112.0;42.4;50.2;31.2;123.8;116.0;44.2;48.5;39.3;132.0;36.1;40.2;43.6;119.9;6.3;9.1;11.1;26.5;111.051;333.15099999999995;5.7;10.8;8.7;25.2;117.567;352.697;34.9;21.6;29.5;86.0;117.567;352.697;63.434;190.234;6.316;18.946;42.3;126.9;27.3;33.0;19.2;79.5;59.0;59.0;40.5;48.7;28.7;117.9;126.0;349.0;349.0;2.17784;2.17784;111.051;333.15099999999995;32.6;97.8;127.0;110.0016
1199;1199;2011;Eswatini;Africa;114.5175;1105371.0;14.85517;14.85517;1077.0;2352.0;1275.0;4704.0;1638.0;911.0;727.0;3276.0;719.0;719.0;51.4924;46.2434;56.57944;154.31524000000002;73.43267;67.96968;78.65266;220.05501;58.0;1300.0;65.9941;24.7883;205.2999;3306.514;2997.222;6303.737;12607.473000000002;77.43405;60.04806;69.16758;206.64969;34.66257;53.096;43.9298;131.68837000000002;260.0778;71.92216;332.0;663.9999600000001;12.72641;51.30874;30.96931;95.00446;13.78;7.58341;13.24943;2.86521;23.69805;2364.4482;4651.217299999999;2286.7679;9302.4334;5.44663;3.82865;4.59368;13.86896;144.1042;14000.0;620.0;244.2318;196.8579;47.37384;488.46354;22.7822;38.83657;8.38266;70.00143;22.53906;22.53906;14.24474;1492.353;930.3203;1168.905;3591.5783;91.0;85.0;87.0;172.01641999999998;210.34475;11.69456;11.69456;111.0;39.8;47.1;29.3;116.2;116.0;44.5;48.6;39.8;132.89999999999998;36.9;40.9;44.2;122.0;5.5;8.1;10.0;23.6;111.238;333.678;5.1;9.8;7.9;22.800000000000004;117.994;353.874;32.9;19.9;27.6;80.4;117.994;353.874;65.941;197.751;6.556;19.676;42.9;128.7;25.8;31.3;17.8;74.9;67.0;67.0;38.1;45.9;27.1;111.1;126.0;328.0;328.0;2.45984;2.45984;111.238;333.678;33.0;98.9;127.0;114.5175
1938;1938;2000;Lithuania;Europe;80.7083;3599637.0;2.95639;2.95639;163.0;375.0;212.0;750.0;291.0;164.0;127.0;582.0;151.0;151.0;8.56022;7.69741;9.38183;25.63946;10.72031;9.58602;11.79327;32.099599999999995;10.0;87.0;45.7516;15.3094;141.7693;15813.95;17150.21;32964.16;65928.32;51.18684;25.17204;37.65216;114.01104;15.48363;34.64513;24.20074;74.32950000000001;625.1417;172.8583;798.0;1596.0;9.2792;38.142;22.78801;70.20921;19.74917;15.35012;24.89467;7.32632;47.57111;14166.990999999998;30072.2634;15905.2717;60144.5261;8.50732;2.63022;5.38091;16.51845;154.62290000000002;3100.0;370.0;356.4234;255.6213;100.802;712.8467;10.17817;15.59632;5.41115;31.18564;4.54978;4.54978;4.54532;869.938;483.5644;635.7363;1989.2387;94.0;92.0;97.0;243.90142;261.77035;1.52383;1.52383;118.0;57.8;65.4;50.5;173.7;118.0;53.1;46.8;59.6;159.5;60.2;56.2;52.9;169.3;2.2;3.9;5.7;11.8;212.345;636.925;2.2;5.8;4.1;12.099999999999998;218.012;654.152;41.4;20.6;30.9;92.9;218.012;654.152;43.483;130.423;5.467;16.397;23.8;71.3;33.5;44.7;21.3;99.5;80.0;80.0;59.4;67.2;50.9;177.5;128.0;74.0;74.0;1.44783;1.44783;212.345;636.925;26.6;79.9;129.0;80.7083
2167;2167;2001;Russian Federation;Europe;85.4794;146235530.0;4.59559;4.59559;10207.0;24460.0;14253.0;48920.0;19695.0;11516.0;8179.0;39390.0;11622.0;11622.0;14.71962;12.60703;16.73115;44.0578;18.34359;15.78848;20.77846;54.91053;21.0;92.0;47.0948;13.1112;145.68540000000002;916429.1;983852.5;1900282.0;3800563.6;63.36267;29.61754;45.89146;138.87167;24.60063;51.50414;37.48063;113.5854;30626.5;11357.5;41984.0;83968.0;14.62384;44.929;28.78954;88.34238;20.930860000000003;15.92387;26.52937;6.96436;49.4176;793951.547;1686517.42;892565.686;3373034.653;14.81422;3.86147;8.98117;27.65686;162.4296;134000.0;31000.0;42927.32;32448.73;10478.58;85854.63;29.4364;47.60221;13.49215;90.53076;8.58311;8.58311;6.58743;1303.32;698.3254;944.4765;2946.1219;96.0;97.0;97.0;237.9437;279.99177000000003;2.29674;2.29674;116.0;63.9;74.1;52.0;190.0;118.0;50.5;48.3;52.3;151.1;52.8;53.4;53.9;160.1;4.6;7.8;10.9;23.3;8516.229;25546.129;4.6;9.9;7.5;22.0;8737.606;26213.606;49.3;26.4;38.7;114.4;8737.606;26213.606;1961.286;5881.786;221.277;664.017;29.4;88.1;39.6;50.0;26.5;116.1;5291.0;5291.0;64.7;74.7;52.0;191.4;128.0;3453.0;3453.0;2.28848;2.28848;8516.229;25546.129;26.3;78.89999999999999;129.0;85.4794
2169;2169;2003;Russian Federation;Europe;82.3726;144946723.0;4.36396;4.36396;9414.0;22396.0;12982.0;44792.0;18169.0;10549.0;7620.0;36338.0;10495.0;10495.0;12.90218;11.15975;14.56337;38.6253;16.07486;13.93569;18.1131;48.12365;23.0;88.0;45.3522;12.9243;140.6491;985729.9;1040495.0;2026225.0;4052449.9;62.56007;29.75933;45.71643;138.03583;25.01955;52.8242;38.34273;116.18648;32553.84;12217.16;44771.0;89542.0;15.83096;48.27204;30.95963;95.06263;22.63371;16.70895;27.31105;7.76928;51.789280000000005;852446.211;1793214.42;940768.31;3586428.941;15.3637;4.01526;9.30753;28.68649;159.8794;127000.0;34000.0;41770.61;31576.25;10194.36;83541.22;28.88483;46.82244;13.20982;88.91709;7.33798;7.33798;6.07946;1398.177;734.7978;999.7576;3132.7324;96.0;97.0;98.0;239.90882;280.76077999999995;2.15779;2.15779;117.0;65.4;75.4;53.9;194.7;118.0;50.2;47.7;52.4;150.3;53.2;53.4;53.6;160.2;5.4;9.1;12.6;27.1;8461.148000000001;25383.548000000003;5.4;11.5;8.8;25.700000000000003;8691.875999999998;26080.376;52.4;28.7;41.3;122.4;8691.875999999998;26080.376;1908.34;5729.04;230.629;691.949;28.1;84.30000000000001;42.4;53.2;28.9;124.5;4392.0;4392.0;66.3;76.2;54.0;196.5;128.0;2917.0;2917.0;2.21371;2.21371;8461.148000000001;25383.548000000003;26.0;78.0;129.0;82.3726
2172;2172;2002;Russian Federation;Europe;83.6011;145590136.0;4.50423;4.50423;9826.0;23447.0;13621.0;46894.0;18961.0;11042.0;7919.0;37922.0;11112.0;11112.0;13.8426;11.92242;15.66664;41.43166;17.2486;14.90792;19.47423;51.63075;23.0;90.0;46.1071;13.0777;142.7859;955253.8;1011813.0;1967067.0;3934133.8;63.35444;30.0427;46.21966;139.61679999999998;25.13826;52.76701;38.39634;116.30161;31276.25;11768.75;43045.0;86090.0;15.20238;46.12894;29.64211;90.97343;21.74713;16.36772;26.95127;7.43479;50.75378;827734.473;1744327.85;916593.381;3488655.7039999994;15.17492;3.97097;9.20214;28.34803;161.0556;130000.0;33000.0;44258.92;33401.53;10857.39;88517.84;30.47805;49.26349;14.02511;93.76665;7.99816;7.99816;6.3766;1341.739;716.6764;972.2711;3030.6865;97.0;97.0;98.0;238.92015;280.37405;2.23943;2.23943;116.0;64.6;74.8;52.9;192.3;118.0;50.4;48.0;52.4;150.8;53.0;53.4;53.8;160.2;5.0;8.5;11.8;25.3;8513.942;25537.742;5.0;10.7;8.2;23.9;8740.244;26220.244;50.9;27.6;40.0;118.5;8740.244;26220.244;1954.887;5872.487;226.202;678.412;28.8;86.4;41.0;51.6;27.7;120.3;4892.0;4892.0;65.5;75.5;53.0;194.0;128.0;3152.0;3152.0;2.26403;2.26403;8513.942;25537.742;26.2;78.60000000000001;129.0;83.6011
2178;2178;2000;Russian Federation;Europe;88.812;146844839.0;4.63397;4.63397;10651.0;25422.0;14771.0;50844.0;20358.0;11876.0;8482.0;40716.0;11943.0;11943.0;15.47597;13.29682;17.55158;46.32437;19.28939;16.66295;21.79151;57.74385;21.0;95.0;48.8886;13.3593;151.0599;893445.1;975356.9;1868802.0;3737604.0;63.52695;29.20215;45.6123;138.3414;24.28462;50.80831;36.94798;112.04091;29967.64;10824.36;40792.0;81584.0;13.89492;43.74626;27.86246;85.50363999999999;20.41874;15.92387;26.52937;6.96436;49.4176;774725.3690000002;1661546.11;886821.137;3323092.6160000004;14.63253;3.79847;8.86776;27.29876;166.52960000000002;139000.0;31000.0;41095.87;31162.08;9933.79;82191.74000000002;28.07001;45.48989;12.75172;86.31162;9.00184;9.00184;6.68848;1295.541;696.2624;937.6258;2929.4292;96.0;97.0;97.0;236.96695;279.99227;2.33415;2.33415;116.0;63.0;73.3;51.0;187.3;118.0;50.6;48.6;52.2;151.4;52.5;53.4;54.0;159.9;4.2;7.2;10.1;21.5;8516.784;25561.784;4.2;9.1;6.9;20.2;8734.141;26205.341;47.7;25.3;37.3;110.3;8734.141;26205.341;1921.807;5765.607;217.257;651.727;29.9;89.69999999999999;38.1;48.3;25.2;111.6;5552.0;5552.0;63.8;73.8;51.0;188.6;128.0;3824.0;3824.0;2.29243;2.29243;8516.784;25561.784;26.4;79.19999999999999;129.0;88.812
