;Actual Value;Prediction;countryName;regionName;year
3038;1.0;1;Australia;Western Pacific;2019
3058;1.0;1;Brunei Darussalam;Western Pacific;2019
3138;1.0;1;Japan;Western Pacific;2019
3178;1.0;1;Kiribati;Western Pacific;2019
3198;1.0;1;Republic of Korea;Western Pacific;2019
3278;1.0;1;New Zealand;Western Pacific;2019
3298;1.0;1;Philippines;Western Pacific;2019
3318;1.0;1;Papua New Guinea;Western Pacific;2019
3338;1.0;1;Singapore;Western Pacific;2019
3438;1.0;1;Samoa;Western Pacific;2019
3078;2.0;2;China;Western Pacific;2019
3098;2.0;2;Fiji;Western Pacific;2019
3158;2.0;2;Cambodia;Western Pacific;2019
3218;2.0;2;Lao People's Democratic Republic;Western Pacific;2019
3238;2.0;2;Mongolia;Western Pacific;2019
3258;2.0;2;Malaysia;Western Pacific;2019
3358;2.0;2;Solomon Islands;Western Pacific;2019
3418;2.0;2;Vanuatu;Western Pacific;2019
3378;3.0;3;Tonga;Western Pacific;2019
3398;3.0;3;Viet Nam;Western Pacific;2019
