;year;countryName;regionName;percent
2158;2019;Romania;Europe;0.010203608227753735
2178;2019;Russian Federation;Europe;0.012012299573783273
2198;2019;Serbia;Europe;0.008856696936220994
2218;2019;Slovakia;Europe;0.006068724096632077
2238;2019;Slovenia;Europe;0.004969470883870091
2258;2019;Sweden;Europe;0.0030686734862224313
2278;2019;Tajikistan;Europe;0.01564527718369588
2298;2019;Turkmenistan;Europe;0.012995302366516087
2318;2019;Türkiye;Europe;0.006675715837260782
2338;2019;Ukraine;Europe;0.010149441223960666
2358;2019;Uzbekistan;Europe;0.011682776101657438
2378;2019;Argentina;Americas;0.014074090545824475
2398;2019;Antigua and Barbuda;Americas;0.0
2418;2019;Bahamas;Americas;0.007457122234938464
2438;2019;Belize;Americas;0.022628440355183185
2458;2019;Bolivia (Plurinational State of);Americas;0.020631875771345166
2478;2019;Brazil;Americas;0.01599313425139118
2498;2019;Barbados;Americas;0.008374577057605826
2518;2019;Canada;Americas;0.005324078960020451
2538;2019;Chile;Americas;0.014845291246060491
2558;2019;Colombia;Americas;0.015471355503012051
2578;2019;Costa Rica;Americas;0.014669261595757484
2598;2019;Cuba;Americas;0.008902535784071977
2618;2019;Dominican Republic;Americas;0.06374727276035524
2638;2019;Ecuador;Americas;0.020124356107736854
2658;2019;Grenada;Americas;0.007267241941266581
2678;2019;Guatemala;Americas;0.02353732283320954
2698;2019;Guyana;Americas;0.021888355974875838
2718;2019;Honduras;Americas;0.015785610938796116
2738;2019;Haiti;Americas;0.01894668470896931
2758;2019;Jamaica;Americas;0.015780953189898406
2778;2019;Saint Lucia;Americas;0.030544239933252323
2798;2019;Mexico;Americas;0.013033368882138366
2818;2019;Nicaragua;Americas;0.01663596403560425
2838;2019;Panama;Americas;0.013967131258546895
2858;2019;Peru;Americas;0.013447603022599244
2878;2019;Paraguay;Americas;0.023762217792088425
2898;2019;El Salvador;Americas;0.021448128305120665
2918;2019;Suriname;Americas;0.014840525003290014
2938;2019;Trinidad and Tobago;Americas;0.008563839061024835
2958;2019;Uruguay;Americas;0.014921839838829033
2978;2019;United States of America;Americas;0.012471372047982184
2998;2019;Saint Vincent and the Grenadines;Americas;0.007806660058709161
3018;2019;Venezuela (Bolivarian Republic of);Americas;0.03840681261078275
3038;2019;Australia;Western Pacific;0.004909147984573987
3058;2019;Brunei Darussalam;Western Pacific;0.007373970432464022
3078;2019;China;Western Pacific;0.017601676007232787
3098;2019;Fiji;Western Pacific;0.013095283979247984
3118;2019;Micronesia (Federated States of);Western Pacific;
3138;2019;Japan;Western Pacific;0.003629655879379047
3158;2019;Cambodia;Western Pacific;0.019887972084458874
3178;2019;Kiribati;Western Pacific;0.0018220474722515112
3198;2019;Republic of Korea;Western Pacific;0.008491414794840745
3218;2019;Lao People's Democratic Republic;Western Pacific;0.017762126817426328
3238;2019;Mongolia;Western Pacific;0.020994638708340164
3258;2019;Malaysia;Western Pacific;0.02189203945126238
3278;2019;New Zealand;Western Pacific;0.009234697725403779
