;Actual Value;Prediction;countryName;regionName;year
664;2.0;2;Algeria;Africa;2019
1164;2.0;2;Sao Tome and Principe;Africa;2019
864;3.0;3;Liberia;Africa;2019
964;3.0;3;Mauritania;Africa;2019
624;4.0;4;Comoros;Africa;2019
924;4.0;4;Mali;Africa;2019
1064;4.0;4;Nigeria;Africa;2019
1144;4.0;4;South Sudan;Africa;2019
704;5.0;5;Ethiopia;Africa;2019
784;5.0;5;Gambia;Africa;2019
904;5.0;5;Madagascar;Africa;2019
984;5.0;5;Mauritius;Africa;2019
1044;5.0;5;Niger;Africa;2019
1084;5.0;5;Rwanda;Africa;2019
1124;5.0;5;Sierra Leone;Africa;2019
1204;5.0;5;Seychelles;Africa;2019
1264;5.0;5;United Republic of Tanzania;Africa;2019
444;6.0;7;Burundi;Africa;2019
604;6.0;6;Congo;Africa;2019
764;6.0;6;Guinea;Africa;2019
824;6.0;7;Equatorial Guinea;Africa;2019
844;6.0;6;Kenya;Africa;2019
1104;6.0;6;Senegal;Africa;2019
424;7.0;7;Angola;Africa;2019
464;7.0;7;Benin;Africa;2019
584;7.0;7;Democratic Republic of the Congo;Africa;2019
744;7.0;6;Ghana;Africa;2019
804;7.0;7;Guinea-Bissau;Africa;2019
1004;7.0;7;Malawi;Africa;2019
1224;7.0;7;Chad;Africa;2019
1284;7.0;7;Uganda;Africa;2019
484;8.0;8;Burkina Faso;Africa;2019
564;8.0;8;Cameroon;Africa;2019
724;8.0;8;Gabon;Africa;2019
1024;8.0;8;Namibia;Africa;2019
1244;8.0;8;Togo;Africa;2019
544;9.0;9;Côte d'Ivoire;Africa;2019
644;9.0;9;Cabo Verde;Africa;2019
684;9.0;9;Eritrea;Africa;2019
1324;9.0;9;Zambia;Africa;2019
504;12.0;11;Botswana;Africa;2019
1304;12.0;13;South Africa;Africa;2019
1344;12.0;13;Zimbabwe;Africa;2019
524;13.0;13;Central African Republic;Africa;2019
944;14.0;14;Mozambique;Africa;2019
1184;25.0;23;Eswatini;Africa;2019
