;Actual Value;Prediction;countryName;regionName;year
664;2.0;2;Algeria;Africa;2019
1164;2.0;2;Sao Tome and Principe;Africa;2019
964;3.0;3;Mauritania;Africa;2019
864;4.0;4;Liberia;Africa;2019
924;4.0;4;Mali;Africa;2019
1064;4.0;4;Nigeria;Africa;2019
1144;4.0;4;South Sudan;Africa;2019
624;5.0;5;Comoros;Africa;2019
784;5.0;5;Gambia;Africa;2019
704;6.0;6;Ethiopia;Africa;2019
904;6.0;6;Madagascar;Africa;2019
984;6.0;6;Mauritius;Africa;2019
1044;6.0;6;Niger;Africa;2019
1084;6.0;6;Rwanda;Africa;2019
1124;6.0;6;Sierra Leone;Africa;2019
1204;6.0;6;Seychelles;Africa;2019
1264;6.0;6;United Republic of Tanzania;Africa;2019
604;7.0;8;Congo;Africa;2019
764;7.0;7;Guinea;Africa;2019
824;7.0;8;Equatorial Guinea;Africa;2019
844;7.0;7;Kenya;Africa;2019
1104;7.0;8;Senegal;Africa;2019
444;8.0;8;Burundi;Africa;2019
464;8.0;8;Benin;Africa;2019
584;8.0;8;Democratic Republic of the Congo;Africa;2019
744;8.0;8;Ghana;Africa;2019
804;8.0;8;Guinea-Bissau;Africa;2019
1004;8.0;8;Malawi;Africa;2019
1224;8.0;8;Chad;Africa;2019
1284;8.0;8;Uganda;Africa;2019
424;9.0;9;Angola;Africa;2019
724;9.0;9;Gabon;Africa;2019
484;10.0;9;Burkina Faso;Africa;2019
544;10.0;10;Côte d'Ivoire;Africa;2019
564;10.0;10;Cameroon;Africa;2019
1024;10.0;10;Namibia;Africa;2019
1244;10.0;10;Togo;Africa;2019
1324;10.0;10;Zambia;Africa;2019
644;11.0;11;Cabo Verde;Africa;2019
684;11.0;11;Eritrea;Africa;2019
504;14.0;13;Botswana;Africa;2019
524;15.0;15;Central African Republic;Africa;2019
1304;15.0;15;South Africa;Africa;2019
1344;15.0;15;Zimbabwe;Africa;2019
944;17.0;17;Mozambique;Africa;2019
1184;30.0;28;Eswatini;Africa;2019
