;Actual Value;Prediction;countryName;regionName;year
3138;2.0;2;Japan;Western Pacific;2019
3178;2.0;2;Kiribati;Western Pacific;2019
3338;2.0;2;Singapore;Western Pacific;2019
3038;3.0;3;Australia;Western Pacific;2019
3058;5.0;5;Brunei Darussalam;Western Pacific;2019
3198;5.0;5;Republic of Korea;Western Pacific;2019
3278;6.0;6;New Zealand;Western Pacific;2019
3298;7.0;7;Philippines;Western Pacific;2019
3318;7.0;7;Papua New Guinea;Western Pacific;2019
3438;7.0;7;Samoa;Western Pacific;2019
3098;8.0;8;Fiji;Western Pacific;2019
3418;9.0;8;Vanuatu;Western Pacific;2019
3078;10.0;10;China;Western Pacific;2019
3218;10.0;10;Lao People's Democratic Republic;Western Pacific;2019
3358;10.0;9;Solomon Islands;Western Pacific;2019
3158;11.0;11;Cambodia;Western Pacific;2019
3238;12.0;12;Mongolia;Western Pacific;2019
3258;13.0;13;Malaysia;Western Pacific;2019
3398;17.0;17;Viet Nam;Western Pacific;2019
3378;19.0;18;Tonga;Western Pacific;2019
