;Actual Value;Prediction;countryName;regionName;year
3038;1.0;1;Australia;Western Pacific;2019
3138;1.0;1;Japan;Western Pacific;2019
3178;1.0;1;Kiribati;Western Pacific;2019
3338;1.0;1;Singapore;Western Pacific;2019
3058;2.0;2;Brunei Darussalam;Western Pacific;2019
3198;2.0;2;Republic of Korea;Western Pacific;2019
3278;2.0;2;New Zealand;Western Pacific;2019
3298;2.0;2;Philippines;Western Pacific;2019
3318;2.0;2;Papua New Guinea;Western Pacific;2019
3438;2.0;2;Samoa;Western Pacific;2019
3078;3.0;3;China;Western Pacific;2019
3098;3.0;3;Fiji;Western Pacific;2019
3218;3.0;3;Lao People's Democratic Republic;Western Pacific;2019
3358;3.0;3;Solomon Islands;Western Pacific;2019
3418;3.0;3;Vanuatu;Western Pacific;2019
3158;4.0;4;Cambodia;Western Pacific;2019
3238;4.0;4;Mongolia;Western Pacific;2019
3258;4.0;4;Malaysia;Western Pacific;2019
3398;5.0;5;Viet Nam;Western Pacific;2019
3378;6.0;6;Tonga;Western Pacific;2019
