;Actual Value;Prediction;countryName;regionName;year
3178;1.0;1;Kiribati;Western Pacific;2019
3338;1.0;1;Singapore;Western Pacific;2019
3038;2.0;2;Australia;Western Pacific;2019
3138;2.0;2;Japan;Western Pacific;2019
3058;3.0;3;Brunei Darussalam;Western Pacific;2019
3198;3.0;3;Republic of Korea;Western Pacific;2019
3278;3.0;3;New Zealand;Western Pacific;2019
3298;4.0;4;Philippines;Western Pacific;2019
3318;4.0;4;Papua New Guinea;Western Pacific;2019
3438;4.0;4;Samoa;Western Pacific;2019
3098;5.0;5;Fiji;Western Pacific;2019
3418;5.0;5;Vanuatu;Western Pacific;2019
3078;6.0;6;China;Western Pacific;2019
3218;6.0;6;Lao People's Democratic Republic;Western Pacific;2019
3358;6.0;6;Solomon Islands;Western Pacific;2019
3158;7.0;7;Cambodia;Western Pacific;2019
3238;7.0;7;Mongolia;Western Pacific;2019
3258;7.0;7;Malaysia;Western Pacific;2019
3398;10.0;10;Viet Nam;Western Pacific;2019
3378;11.0;11;Tonga;Western Pacific;2019
