Actual Value/Prediction;1;2;4;5;6;11;17;18
1.0;23;0;0;0;0;0;0;0
2.0;0;1;0;0;0;0;0;0
4.0;0;0;2;1;0;0;0;0
5.0;0;0;0;1;0;0;0;0
7.0;0;0;0;0;1;0;0;0
11.0;0;0;0;0;0;1;0;0
17.0;0;0;0;0;0;0;2;1
